Calculations with WS3
    Z    N    A      Etot  Eshell+pairing  beta2      gamma      beta4
   30   62   92    -1.763    -5.097     0.318       0.209     0.017
   30   64   94    -1.740    -5.196     0.330       2.201    -0.000
   30   66   96    -1.721    -5.212     0.330       3.431    -0.014
   32   30   62    -2.339    -3.254     0.176      20.427    -0.000
   32   32   64    -1.672    -3.660     0.249      41.338    -0.002
   32   34   66    -1.108    -3.153     0.249      59.982     0.001
   32   36   68    -0.367    -2.486     0.249      60.000    -0.001
   32   38   70     0.119    -1.966     0.242      53.418    -0.007
   32   40   72     0.090    -1.993     0.236      47.581    -0.013
   32   42   74    -0.520    -2.528     0.236     -30.000    -0.008
   32   44   76    -1.582    -2.959     0.196      20.316    -0.003
   32   46   78    -3.171    -4.176     0.165       0.878    -0.006
   32   48   80    -4.911    -5.689     0.136       1.085    -0.013
   32   50   82    -6.447    -6.603     0.060      -1.883    -0.001
   32   52   84    -5.896    -6.407     0.118       2.539    -0.000
   32   54   86    -4.704    -5.506     0.145       1.738    -0.012
   32   56   88    -3.246    -4.389     0.169       0.527    -0.018
   32   58   90    -1.961    -3.672     0.202      59.955     0.025
   32   60   92    -1.240    -3.289     0.224      54.928     0.034
   32   62   94    -0.753    -3.421     0.275      25.227     0.016
   32   64   96    -0.762    -3.585     0.286      23.422     0.012
   32   66   98    -0.894    -3.719     0.288      25.588     0.007
   32   68  100    -1.112    -4.135     0.285       0.234    -0.038
   32   70  102    -1.548    -4.454     0.270       0.067    -0.050
   32   72  104    -1.904    -4.598     0.253       0.837    -0.056
   34   32   66    -1.288    -3.283     0.254      60.000     0.003
   34   34   68    -1.156    -3.451     0.264      60.000    -0.003
   34   36   70    -0.378    -2.894     0.273      60.000    -0.003
   34   38   72     0.120    -2.265     0.258      60.000    -0.009
   34   40   74     0.116    -2.098     0.244      60.000    -0.018
   34   42   76    -0.192    -2.302     0.234      60.000    -0.024
   34   44   78    -0.935    -2.343     0.190     -19.715    -0.021
   34   46   80    -2.801    -3.840     0.158      -0.988    -0.023
   34   48   82    -4.684    -5.494     0.132      -0.538    -0.027
   34   50   84    -6.238    -6.414     0.060      -3.229    -0.004
   34   52   86    -5.516    -6.117     0.110      -3.416    -0.015
   34   54   88    -4.285    -5.321     0.143      -1.517    -0.031
   34   56   90    -2.913    -4.280     0.172      -1.630    -0.038
   34   58   92    -1.745    -3.620     0.211      60.000     0.025
   34   60   94    -1.207    -3.785     0.252      60.000     0.029
   34   62   96    -0.748    -3.611     0.270      60.000     0.023
   34   64   98    -0.404    -3.577     0.305      -1.109    -0.001
   34   66  100    -0.536    -3.521     0.283      -3.223    -0.024
   34   68  102    -0.930    -3.784     0.269       0.476    -0.041
   34   70  104    -1.531    -4.374     0.256       0.942    -0.054
   34   72  106    -2.013    -4.775     0.241      -0.788    -0.061
   34   74  108    -2.437    -4.907     0.219      -2.723    -0.064
   34   76  110    -3.131    -4.946     0.226      60.000    -0.005
   34   78  112    -4.383    -5.552     0.179      59.974    -0.010
   34   80  114    -6.419    -6.483     0.042      60.000    -0.004
   34   82  116    -9.274    -9.279     0.014      60.000    -0.000
   36   34   70    -0.881    -3.482     0.288      60.000    -0.001
   36   36   72    -0.310    -3.713     0.324      60.000     0.005
   36   38   74     0.456    -2.595     0.298      60.000    -0.006
   36   40   76     0.466     0.443     0.000     -30.000    -0.001
   36   42   78     0.113    -1.597     0.205      60.000    -0.032
   36   44   80    -0.713    -0.999     0.082     -10.291    -0.007
   36   46   82    -2.366    -2.959     0.110      -3.044    -0.015
   36   48   84    -4.489    -4.905     0.087      -3.294    -0.016
   36   50   86    -6.599    -6.623     0.000     -30.000    -0.001
   36   52   88    -5.397    -5.616     0.071       0.704    -0.009
   36   54   90    -3.754    -4.290     0.101      -4.777    -0.019
   36   56   92    -2.183    -2.966     0.142      60.000    -0.001
   36   58   94    -1.049    -2.472     0.193      60.000     0.013
   36   60   96    -0.616    -3.880     0.284      60.000     0.032
   36   62   98    -0.645    -4.433     0.327      -0.294     0.023
   36   64  100    -0.673    -4.436     0.331       1.022     0.009
   36   66  102    -0.620    -4.327     0.328       1.431    -0.005
   36   68  104    -0.618    -4.338     0.317       1.796    -0.023
   36   70  106    -0.781    -4.090     0.291       0.437    -0.039
   36   72  108    -1.143    -3.324     0.227      39.193    -0.031
   36   74  110    -2.058    -4.050     0.211      37.119    -0.041
   36   76  112    -3.184    -4.582     0.171      43.152    -0.037
   36   78  114    -4.858    -5.825     0.137      51.628    -0.033
   36   80  116    -7.275    -7.383     0.048      60.000    -0.008
   36   82  118   -10.200   -10.205     0.014      60.000    -0.001
   38   36   74     0.065    -3.085     0.316      60.000    -0.003
   38   38   76    -0.146    -4.693     0.397      -0.600     0.003
   38   40   78    -0.430    -0.454     0.000     -30.000    -0.001
   38   42   80    -0.643    -0.669     0.000     -30.000    -0.001
   38   44   82    -1.222    -1.246     0.000     -30.000    -0.001
   38   46   84    -2.682    -2.707     0.000     -30.000    -0.001
   38   48   86    -5.051    -5.076     0.000     -30.000    -0.001
   38   50   88    -7.419    -7.445     0.000     -30.000    -0.001
   38   52   90    -5.841    -5.870     0.000     -30.000    -0.001
   38   54   92    -3.847    -4.112     0.071      60.000    -0.007
   38   56   94    -2.114    -2.551     0.091      60.000    -0.010
   38   58   96    -0.640    -1.734     0.162      60.000    -0.006
   38   60   98    -0.617    -4.616     0.329      -2.438     0.037
   38   62  100    -0.834    -4.851     0.337      -2.687     0.027
   38   64  102    -0.829    -4.814     0.339      -2.893     0.015
   38   66  104    -0.777    -4.864     0.343       1.596    -0.001
   38   68  106    -0.615    -4.833     0.342       1.731    -0.017
   38   70  108    -0.589    -4.842     0.338       0.861    -0.029
   38   72  110    -1.005    -3.039     0.206      59.978    -0.042
   38   74  112    -1.970    -3.615     0.178      59.948    -0.045
   38   76  114    -3.430    -4.721     0.150      59.969    -0.044
   38   78  116    -5.347    -6.306     0.125      60.000    -0.040
   38   80  118    -8.155    -8.113     0.021      59.784    -0.001
   38   82  120   -11.189   -11.192     0.011      60.000    -0.000
   40   38   78    -0.401    -5.058     0.408      -0.022    -0.007
   40   40   80    -1.537    -1.560     0.000      60.000    -0.001
   40   42   82    -1.468    -1.495     0.001      60.000    -0.001
   40   44   84    -1.991    -2.015     0.000     -30.000    -0.001
   40   46   86    -3.389    -3.413     0.000     -30.000    -0.001
   40   48   88    -5.696    -5.720     0.000     -30.000    -0.001
   40   50   90    -8.004    -8.030     0.000     -30.000    -0.001
   40   52   92    -6.290    -6.318     0.001      60.000    -0.001
   40   54   94    -4.121    -4.151     0.008      60.000    -0.001
   40   56   96    -2.203    -2.236     0.013      60.000    -0.001
   40   58   98    -0.471    -1.918     0.193      60.000     0.001
   40   60  100    -0.162    -3.925     0.315      -1.582     0.041
   40   62  102    -0.320    -4.290     0.334      -3.165     0.028
   40   64  104    -0.320    -4.363     0.339      11.748     0.016
   40   66  106    -0.268    -4.389     0.343       3.859    -0.002
   40   68  108    -0.117    -4.397     0.341       2.870    -0.019
   40   70  110    -0.498    -2.952     0.225      60.000    -0.045
   40   72  112    -1.212    -3.532     0.215      60.000    -0.047
   40   74  114    -2.080    -4.128     0.201      59.977    -0.045
